,title,title_label,description,description_label
0, 싸운 건  쇼 로이터   미 우크라 간 광물협정 체결할 수도 ,0,로이터통신은 이날  트럼프  행정부 소식통들을 인용해 이같이 전하면서 특히 도널드  트럼프  대통령은 이날 오후  시 분 한국시간  일 오전  시  분  시작하는 상 하원 합동회의 연설 때 협정 합의를 발표하길 희망한다는  ,0
1,뉴욕증시  관세전쟁 격화에  일 연속 하락 마감,0,도널드  트럼프  미국 대통령  연합뉴스    트럼프  행정부의 관세전쟁이 격화하면서 뉴욕증시가  일 연속 하락 마감했다   일 미국 현지시간  뉴욕증권거래소 에 따르면 이날 다우존스 산업평균지수는 전장보다  ,0
2, 우크라 광물협정 임박 보도에 재무  지금은 아냐 ,1,일부 언론에서  트럼프  행정부 인사들을 인용해 발표가 임박한 것으로 보도했지만 주무 장관은 시기상조라는 인식을 드러낸 것이다  로이터통신은  일 현지시간   트럼프  행정부 소식통들을 인용해 양국이 광물 협정에  ,0
3, 트럼프  개입했지만  투어 커미셔너  와 통합 쉽지 않다 ,0,도널드  트럼프  미국 대통령이 개입해 타결이 임박한 것처럼 보였던   투어와   골프 통합 협상이 이른 시일 안에 마무리되기 쉽지 않다는 뜻이다   트럼프  대통령은 최근  차례나 모너핸 커미셔너를 포함한   투어  ,0
4,  엔비디아 급반등 이어 삼성전자    하이닉스  상승 출발 ,0,도널드  트럼프  대통령의 예고대로 이날 주요 무역국에 대한 관세 부과에 이어 상대국들도 즉각 보복관세로 맞불을 놓으면서 글로벌 무역전쟁 우려 확대 속에 이 같은 흐름이 나타났다고 미국 경제방송  ,0
5,미국 부통령  우크라 파병 추진 유럽국에  어중이떠중이  지칭 논란,0, 영국판  트럼프 로 불리는 나이절 패라지 영국개혁당 대표도  밴스는  틀렸다  틀렸다  틀렸다 면서 영국은 아프가니스탄에서  년 동안  미국의 편 에 섰다고 강조했습니다  프랑스군 대령 출신인 미셸 고야도  ,0
6,루비오 방문 한 달만에 홍콩 기업 결국 파나마운하 항만지분 미국 기업 ,1,도널드  트럼프  대통령이 파나마 운하를 미국이 소유해야 한다는 주장의 근거로 삼았던 홍콩 회사의 항만  그런데 지난해 당선된  트럼프  미국 대통령이 파나마 운하를 미국 소유로 만들어야 한다면서 중국이 파나마  ,0
7, 트럼프  관세   협상용 엄포  아닌  진심 그럼에도   증시 기 ,0,김학균 신영  리서치센터장 인터뷰  트럼프  관세    증시에 부담 불가피 전망   조정기  장기 박스권에  도널드  트럼프  미국 대통령 발  글로벌  관세 전쟁 이 국내외 증시에 미칠 영향과 이에 따른 투자  ,0
8, 물동량  만 시대 마중물  인천신항 완전자동화부두 조성 순항,0,올해는  트럼프   기의 보호무역과 관세 부과 등이 인천항에 미치는 영향이 클 것으로 보인다  이 사장은 물동량 유치 해법으로 타깃 마케팅 강화와 항로 다변화  특화화물 유치 등을 내세웠다  구체적으로 미주에서  ,0
9, 해외브리핑  미    억  규모 태양광 프로그램 보조금 동결 해제,0,사진 연합 미    억 달러 규모 태양광 프로그램 보조금 동결 해제 블룸버그의  일 현지시간  보도에 따르면  미국 환경보호청 이 도널드  트럼프  대통령 취임 이후 동결했던 모두를 위한  ,0
10,코스피    증시 변동성 속 상승 출발 선 등락,1, 트럼프 발 관세 영향으로 미국 증시가 하락 마감했지만  미국 장 마감 이후 미국 상무부 장관이 캐나다와 멕시코에 부과한   관세 정책과 관련 타협안을 발표할 수 있다고 밝히면서 일부 투자심리가 개선된  ,0
11, 미국 술 치워라 캐나다 주 정부들  트럼프  관세에 맞불,0,온타리오와 퀘벡 등 캐나다 주요 주 들이  일 현지시간  도널드  트럼프  미국 행정부의 관세 부과에 맞서 미국산 술 판매를 금지했다  더그 포드 온타리오 주지사는 미국산 알코올 판매 금지 조치를 발표하며  이는  ,0
12,  김여정  칼빈슨함  발끈하자  한국 방어 공약 분명 ,1,도널드  트럼프   기 행정부 출범 이후 미국의 한미동맹에 대한 변함없는 의지를 보여주는 신호라는 해석도 나온다  에반스 리비어 전 국무부 동아태 담당 수석 부차관보는 미국의소리  방송에  트럼프  행정부에서  ,0
13,코스닥  외인 기관 사자에  대 상승 선,1,도널드  트럼프  대통령이  일 현지시간  멕시코 캐나다 중국 등  개국산 수입품에 신규 관세 부과를 발효하고 이들  개국이 보복 조치에 나서거나 보복을 예고  관세전쟁이 격화 양상을 보이면서 위험회피  ,0
14, 트럼프  캐나다  총리 를  주지사 로 호칭 상호관세 부과 으름장,0,도널드  트럼프  미국 대통령이  일 현지시간 부터 부과하기 시작한 대캐나다  의 관세에 대해 캐나다 측이  보복관세 로 맞불을 놓자  이에 상응하는 상호관세를 추가로 즉각 부과하겠다고 맞받았다   트럼프  대통령은 이날  ,0
15, 상무  트럼프   멕 관세 경감 고려 내일 발표할 듯 상보 ,0, 트럼프  미국 대통령이 캐나다와 멕시코에 대한 관세 경감을 고려하고 있다고 밝혔다  미국 관세부과 소식 전하는 멕시코 신문 멕시코시티 연합뉴스  이재림 특파원   멕시코산 제품에 대한 미국 도널드  트럼프   기  ,0
16, 트럼프  암호화폐 비축 계획  업계 대립 초래,1,도널드  트럼프    미국 대통령이 지난 주말 국가 암호화폐 준비금 계획에 비트코인 뿐  이 소식에 암호화폐 시장 매도세는 잠시 주춤했으나 다시 하락했으며 업계 리더들은  트럼프 의 다자산 계획에  ,0
17, 글로벌칼럼  프란치스코 교황의 입원이 불러온 예상치 못한 영향,0,미국교회가  트럼프  행정부의 정책  특히 이민자와 난민 정책에 저항할 것을 공개적으로 촉구했다  또한 교황은 미국의   밴스 부통령이 국수주의적 정책을 정당화하기 위해 가톨릭 신학을 사용하는 것을 거부했다   트럼프  ,0
18, 뉴욕증시  관세전쟁 격화 양상에 일제히 하락 테슬라  ,0,도널드  트럼프  미국 대통령이 멕시코 캐나다 중국 수입품에 신규 관세 부과를 발효한 첫날인  일   트럼프 의 고율 관세 발효를 불확실성 제거로 받아들여 장 중 저가 매수세가 활발히 유입됐으나 장 마감을  여분  ,0
19,  암호화폐 준비금보다 관세 공포 컸다 비트코인 부진 계속,0,도널드  트럼프  미국 대통령의 암호화폐 준비금 발표 이후 급등했으나  뒤이은 관세 우려로 매도가 발생하면서  만 달러 수준을 회복하지 못했다   일 현지시간  경제매체  에 따르면  트럼프  대통령의 관세 시행 발표  ,0
20,아랍연맹  자체 가자 재건 계획  채택   트럼프  구상에 반발,0,아랍 국가들이  팔레스타인 가자지구를 미국이 점령 소유해 개발하겠다 는 도널드  트럼프  행정부 구상에 맞서 자체 재건 계획을 채택했다  아랍 국가가 참여하는 위원회가 가자지구를 관리하다가 요르단강  ,0
21,로이터  트럼프  오늘 연설서 우크라와 광물협정 발표 베센트  재무 ,1,   트럼프  대통령과 회담하는 젤렌스키 대통령  사진 연합뉴스  지난달  일 백악관에서 열린 정상회담이  보도에 따르면 다수의 소식통은  트럼프  대통령이 이날 오후  시  분 한국시간  일 오전  시  분  상 하원  ,0
22, 트럼프 발 관세 전쟁이   전기차 시장에 미치는 영향,0,미국 워싱턴주 공용 전기차 충전소  사진  로이터 통신  도널드  트럼프  행정부가 촉발한 관세전쟁이 자동차  이 같은  트럼프  행정부의 움직임에 미국 외 다른 나라의 입장은 어떨까  매체에 따르면 캐나다는 필요하다면  ,0
23,로이터  우크라 광물협상 타결 일  트럼프  의회 연설 때 발표 ,1,로이터통신은 이날  트럼프  행정부 소식통들을 인용해 이같이 전하면서 특히 도널드  트럼프  대통령은 이날 오후  시 분 한국시간  일 오전  시  분  시작하는 상 하원 합동회의 연설 때 협정 합의를 발표하길 희망한다는  ,0
24, 아주증시포커스  하루  시간 주식 거래 넥스트레이드 출범 첫날  ,0,간밤 뉴욕장 마감 후 루트닉 미국 상무부 장관이  트럼프 가 당장 내일 캐내다  멕시코 관세를 일부 감면하는 정책을 발표할 수 있다고 발언  중국 주미대사가  트럼프  관세에 공격적으로 대응하지 않겠다는 입장을  ,0
25,트뤼도  총리  조 규모 미국산 수입품에 보복관세 즉각 발효 ,0,쥐스탱 트뤼도 캐나다 총리는 도널드  트럼프  미국 대통령의   관세 부과를  어리석은 짓 이라고 비판하며  트뤼도 총리는  일 현지시간  캐나다 오타와 의회에서 기자회견을 열고  트럼프  행정부의 관세에 대해  어떠한  ,0
26,정부 지출 증가에 유로화 올들어 최고치 증시는 급락,1,도널드  트럼프  미국 대통령이 전날 캐나다와 멕시코에 관세 부과를 확정하면서  와 통상갈등도 가시화하고 있으나 유로화 강세에 영향을 미치지는 못했다  유로화는 지난해  월  트럼프  대통령 당선 이후  ,0
27, 초점  기로에 선   달러  약세 전망  솔솔 엔화 주목해야,0,미국 달러화는 도널드  트럼프 의 미국 대선 승리 가능성이 점쳐지자 지난해  월부터 줄곧 상승했고  트럼프 의 대통령 당선 이후 더욱 기세를 올리며 지난해  분기에만   급등했다   트럼프  대통령이 당선인 시절부터 주요  ,0
28, 부통령  우크라 파병 추진 유럽국에  어중이떠중이  지칭 논란,0, 영국판  트럼프 로 불리는 나이절 패라지 영국개혁당 대표도  밴스는  틀렸다  틀렸다  틀렸다 면서 영국은 아프가니스탄에서  년 동안  미국의 편 에 섰다고 강조했다  프랑스군 대령 출신인 미셸 고야도 엑스 옛  ,0
29,벨라루스 대통령  암호화폐 채굴 개발 지시 전력 남아돈다 ,0,루카셴코 대통령은 미국이  트럼프  대통령 당선 이후 암호화폐 중심지가 되겠다는 의지를 보인 데서 영감을 받아  비트코인과 이더리움 등으로 국가 암호화폐 보유고를 만들 계획을 세웠다  그는  세계가 가고 있는 길을  ,0
30, 트럼프  관세 직격탄 암호화폐 파생상품 하루 만  억달러 청산,0, 사진  셔터스톡  도널드  트럼프  대통령의   관세 부과 조치로 인해 하루 동안  억달러 이상의 암호화폐 파생상품 포지션이 청산됐다   일 현지시간  블록체인 매체 코인텔레그래프에 따르면  트럼프  대통령은  ,0
31, 우크라 광물협정 임박 보도 나왔지만  재무  지금은 아냐 종합 ,0,베센트 재무장관  현재로선 테이블 위에 올라와 있지 않다  로이터  트럼프   일 의회 연설 때 광물협정 합의  일부 언론에서  트럼프  행정부 인사들을 인용해 발표가 임박한 것으로 보도했지만 주무 장관은 시기상조라는  ,0
32,윤석열 최후의 변명 팩트체크  쿠데타의 재구성 ,1, 미국  트럼프  대통령은  취임 첫날 국가비상사태를 선포하고 군을 투입했다  불법체류자와 마약 카르텔  국가비상사태가 아니라고 단언할 수 있는가    거짓 도널드  트럼프  미국 대통령이 발효했다는  ,0
33,울산시   트럼프   기 통상정책 대응  유관기관 대책회의  개최,0,울산시가  트럼프   기 통상정책에 대응하기 위한 대책마련에 나선다  울산시는  일 시청 본관 중회의실에서  수출 유관기관 대책 회의 를 개최한다고 밝혔다  이날 회의는  월부터 시행될 미국의 철강 알루미늄   관세 부과  ,0
34, 테슬라 전기차 안 사 주가 또   급락   트럼프  상승분 대부분 반납,0,테슬라 주가가  일 현지시간  또   이상 급락하며 지난해 대선 이후 상승분을 거의 반납했다  테슬라 주가는 이날   하락한  달러로 마감했다  이는 지난해  월 일 대선 당일 종가인  달러 이후 최저가이다  ,0
35,리플 등 가상화폐  오는  일  트럼프  가상화폐 회의에 운명 달려,0, 트럼프  가상화폐 준비금 발표로 한 차례 폭풍이 지나간 가운데 오는  일 백악관에서 개최 예정인 가상화폐 관련 수장 회의는 사장의 운명을 가를 중요한 계기가 될 것이라는 전망이다  이번 주 금요일 백악관에서  트럼프 가  ,0
36, 젤렌스키는 영웅   트럼프 는 빵점 ,0, 일 현지 시간  미 캘리포니아주 샌프란시스코 시청 밖에서 시위대가 손팻말을 들고 반 트럼프  시위를 벌이고 있다   ,0
37,  주식 이어   사들인 투자자들  상품 경쟁 가속,0,미국  트럼프  행정부의 관세 전쟁과 인플레이션 우려로 글로벌 금융시장 불확실성이 확대되면서  운용업계 관계자는  괴리율은 줄었지만  트럼프 발 관세 이슈 등으로 대외적인 불확실성이 큰 데다가 각국의  ,0
38,뉴욕 연은 총재  관세 물가 영향 연내 나타날 것 ,0,존 윌리엄스 미국 뉴욕 연방준비은행 연은  총재가 도널드  트럼프  미 행정부의 관세 정책에 따른 물가 영향이 연내 나타날 것으로 전망했다  윌리엄스 총재는  일 현지시간  미국 뉴욕에서 열린 블룸버그 인베스트  ,0
39,공포탐욕지수  극단적 공포  수준  하나증권  텔레콤     한국전력 ,0,도널드  트럼프  미국 대통령이 관세 전쟁에 다시 힘을 싣고 있다는 점도 경기방어주 매력을 부각하는 요인으로 꼽혔다  미국 증권시장에서도 필립모리스  존슨앤드존슨    등 경기방어주로 투자 수요가 쏠리는  ,0
40, 국방차관 후보   전작권 이전에  의욕적인 동맹국  역할 강화 지지 ,0,워싱턴  연합뉴스 도널드  트럼프  미국 행정부에서 미 국방정책을 설계할 엘브리지 콜비 미국 국방부 정책 담당 차관 지명자는  일 현지 시간  전시작전통제권 전작권  이전 문제와 관련해  트럼프  대통령의 외교정책  ,0
41,사운드웨이브 부사장 최원준     내가 사는 세상을 사실에 가깝게 보는 ,1,후보 시절   트럼프 와 해리스의 노출량을 비교해 봤어요  유튜브에서  트럼프 의 노출량이 해리스보다 열 배 많았습니다   트럼프 는 시시콜콜한 콘텐츠를 자기 채널에 수시로 올려요   트럼프 는 노출 빈도가 높으니 친숙한  ,0
42,  상무장관   트럼프  멕시코 캐나다와 무역협상 타결 내일 발표할수 ,1,미국의 도널드  트럼프  대통령이 최대 무역상대국인 캐나다 멕시코와의 관세전쟁을 협상으로 마무리할 것으로 보인다   방송 등에 따르면 미국의 하워드 러트닉 상무장관은  일 현지시간  폭스뉴스와 인터뷰에서  트럼프  ,0
43, 글로벌 마켓 리포트  월  일 ,0, 일 현지시간  미국 뉴욕증시 주요 지수는 도널드  트럼프  미국 대통령이 선포한 관세 전쟁이   트럼프  대통령은 이날부터 캐나다와 멕시코에 대한  의 관세 부과를 전격 단행했다  중국산 수입품에 대해서는  ,0
44,대통령도 나섰는데   투어 커미셔너  와 통합 쉽지 않다 ,0,도널드  트럼프  미국 대통령이 팔을 걷어붙이고 나서면서 급물살을 탈 것 같았던 미국프로골프  투어와   트럼프  대통령의 개입으로 타결이 임박한 것처럼 보였던   투어와   골프 통합 협상이 이른 시일 안에  ,0
45, 트럼프  무역 전쟁  미국보다 캐나다 멕시코 큰 타격 ,1,도널드  트럼프  미 대통령이 캐나다  멕시코  중국을 상대로 시작한 무역 전쟁이 경제적 혼란을 일으킨 것과   는 그러나  트럼프 의 의도는 미국의 무역 적자를 줄이는 것이라며 무역 의존도가 낮은 미국이 받는 타격이  ,0
46, 트뤼도 주지사  보복 관세  그럼 우린 또 올려  재보복 위협한 트 ,1,도널드  트럼프  미국 대통령이  일 현지시간  쥐스탱 트뤼도 캐나다 총리의 관세 대응 인상 발표에 대해  보복 관세를 단행하면 그와 같은 금액의 상호관세를 즉각 부과하겠다 고 밝혔다   트럼프  대통령은 트뤼도  ,0
47, 오늘의 뉴욕증시 무버  관세전쟁에 인플레 우려한 유통주 폭락 베스트 ,0,  급등  일 현지시간  뉴욕증시에서는 도널드  트럼프  미국 대통령의 관세가 촉발한 관세 전쟁으로 소비자  코리 배리 베스트바이 최고경영자 는 실적 발표에서  트럼프  대통령이 부과한 멕시코에 대한   관세와  ,0
48,뉴욕증시   트럼프  관세 격화에 약세 다우   하락,0,뉴욕증시는 도널드  트럼프  미국 대통령이 캐나다 멕시코 중국에 고율의 관세를 부과하고 상대국이  또  트럼프  행정부를 세계무역기구 에 제소하는 방침도 공개했다  클라우디아 셰인바움 멕시코 대통령은  ,0
49,두산밥캣 북미 생산으로 업황 반등 수혜 기대  한화투자  목표주가 상향 ,1,배 연구원은  두산밥캣은  트럼프   기 행정부 시대에 주목할 만한 업체라고 판단한다 며  올해 경영계획도 환율 가정이  원인 점과 하반기 북미 회복 가능성을 고려하면 보수적 목표라고 보인다 고 분석했다  ,0
50, 뉴욕 브리핑   트럼프  관세전쟁 격화 뉴욕증시 동반 하락,1,막판 협상이 가능할 줄 알았던  트럼프 발 관세 전쟁이 본격화하는 모습에 간밤 뉴욕증시  대 지수는 일제히 하락했다   트럼프  행정부는  일 현지시간  캐나다 멕시코 중국의 수입품에 관세 부과를 발효했다  이에  ,0
51, 국방차관 후보  동북아 동맹국에 국방비 증액 요구,0,도널드  트럼프  미국 대통령은 지난달 이시바 시게루 일본 총리와의 정상회담에서  일본은  년까지 방위비를 내 첫 임기 때보다  배로 늘릴 것을 약속했다 고 지적했다  지난해 일본의 방위비 예산은  의   ,0
52,테슬라 전고점 대비   폭락  어디까지 떨어지나 종합 ,1,테슬라가 연일 급락하며  트럼프  당선 이후 상승분을 거의 반납한 것은 물론  전고점 대비   이상  캐나다는  트럼프 가 관세 폭탄을 터트리자 테슬라 전기차에   관세를 부과할 것이라고 천명했었다  악재투성이인  ,0
53,연준 윌리엄스  트럼프  관세 물가 영향  올 하반기 나타날 듯 ,1,권지언 특파원   도널드  트럼프  미국 대통령의 관세 정책이 인플레이션을 일정 수준 부추긴다고 존 윌리엄스  한다 면서  트럼프 의 관세 정책 여파가 올 하반기 정도에 나타날 것 같기 때문에 관세로 인한 물가 영향도  ,0
54, 미장브리핑    관세 부과에   보복 조치 단행 예고,0, 사진 이미지투데이   도널드  트럼프  미국 대통령 관세 부과로 인한 경제 우려가 커지면서 주식 폭락   트럼프  대통령은 캐나다와 멕시코에   관세를 부과한다고 발표  중국 상품에   추가 관세 부과   중국과  ,0
55, 뉴욕 금가격   트럼프  관세 어부지리 달러 약세 연일 반등,0,금괴 연합뉴스 자료사진  도널드  트럼프  대통령의 관세 강행 조치가  보복 관세 를 부르면서 안전자산   트럼프   기 행정부는 사전 예고된 대로 이날부터 캐나다와 멕시코에   보편관세를 부과하고 중국에   ,0
56,울산시  수출유관기관 대책 회의 개최,1,울산시가  트럼프   기 통상정책에 대응하기 위한 대책 마련에 나선다  시는  월  일 오전  시  분 시청 본관  층 중회의실에서  수출유관기관 대책 회의 를 개최한다고 전했다  이날 회의는  월부터 시행될 미국의 철강  ,0
57, 박정식의 국내 주식시황  관세전쟁 시작되며 인플레이션 및 경기침체  ,1,미국은  트럼프  대통령이 예고한 대로  월  일 오전  시부터 멕시코  캐나다  중국에 대한 관세를 발효했다  관세전쟁이 본격화되는 상황에  트럼프  대통령은 트루스 소셜을 통해 상호관세로 추가 보복관세를 부과할 수  ,0
58,에버코어 가 꼽은 무역전쟁 중 보유하기 좋은 주식은,0, 일 현지시간   에 따르면 에버코어는 저변동성 주식이 무역전쟁 징후가 본격적으로 나타난 지난달뿐만 아니라  트럼프   기였던 지난  년에도 더 나은 성과를 보였다고 설명했다  줄리안 에마누엘 시니어  ,0
59,   캐 멕 관세  가장 어리석은 세금 트럼프  고삐 풀린 관세맨 ,0,도널드  트럼프  미국 대통령이  일 현지시간 부터 예고대로 캐나다 멕시코에   전면 관세를  중국산   일 현지시간  월스트리트저널 은  트럼프  가장 어리석은 관세 추락 이라는 제목의 사설에서  그는 멕시코와  ,0
60,      우기홍 대한항공 대표이사 부회장,0, 년  월 방한한 도널드  트럼프  미국 대통령은 직접  기홍 우 를 찾으며  천재 사업가 라고 드러내놓고 칭찬하기도 했다  이는 대한항공이 보잉 항공기를  조 원 이상 구매한 것과 무관치 않다는 분석이 나왔다  ,0
61, 엔비디아 저평가 년 내 최저 수준 근접 ,1,그는  엔비디아의 신형    블랙웰  출시가 순조롭게 진행되지 않고 있지만  회사가 문제를 해결해 나가고 있다 며 가장 주목하는 위험 요소는 도널드  트럼프  대통령의 중국 수출 규제가 얼마나 강력하게 시행될지  ,0
62,  오늘 포항서  철강산업 위기극복  현장 간담회,1,국민의힘 권성동 원내대표를 비롯한 원내지도부는 이날 포스코 한국철강협회와 현장간담회를 열고  트럼프 발 관세 전쟁으로 인한 통상 분야의 불확실성 증가와 중국발 철강제품 과잉 공급에 따른 단가 하락 등 국내  ,0
63,농협사료  사료값 인상 요인에도 가격 인상  최대한 지연 ,0,여기에  트럼프  대통령의 상호 관세 부과 공식 발표로 환율마저  원대 수준에서 등락을 거듭하면서 사료가격 안정을 위협하는 요인이 되고 있다  이처럼 원료곡 상승에 환율 인상 분까지 감안할 경우 사료용 원료곡의  ,0
64,관세전쟁에 뉴욕증시 이틀째 하락 다우   하락,0,미국  트럼프  행정부가  일 현지시간 부터 멕시코 캐나다 중국 수입품에 신규 관세 부과를 발효한데 대해   트럼프  행정부는 미 현지시간 오전  시  분을 기해 멕시코 캐나다 중국 등  개국 수입품에 대한 신규  ,0
65,미증시 급락에도 지수 선물은 일제 상승  나스닥  ,0,전일에도 미국증시는  트럼프 가 관세 부과를 강행하겠다고 밝히자 나스닥이   급락하는 등 일제히 급락했었다  미국 증시가 이틀 연속 급락하자 저가 매수가 유입됨에 따라 지수 선물이 일제히 상승하고 있는  ,0
66,전북자치도   트럼프  통상정책에 맞춤형 선제 대응,0,맞춤형 컨설팅을 제공하고  필요시 중앙정부와 협력해 추가 지원책을 마련할 예정이다 전북자치도는 지난  월 미국 통상정책 변화에 대응하기 위해  개 실국과 도내  개 유관기관이 참여하는  트럼프   기 통상정책  ,0
67, 더벨   반도체 부품  승부수  이노텍  반도체협회 부회장 ,0, 이노텍으로선 반도체 부품업종을 새 성장동력을 삼은 데다  트럼프  발  통상리스크에 대응하는  현재 글로벌 시장은  트럼프  미국 대통령 발 보호무역주의와 관세정책으로 인해 불확실성이 대두된 상황이다  특히  ,0
68,뉴욕증시     트럼프  관세전쟁 격화에  대 지수 하락,0,미국 도널드  트럼프  행정부가  일 현지시간  멕시코 캐나다 중국 등  개국산 수입품에 신규 관세 부과를  뉴욕증시  대 지수는 전날  트럼프  대통령의 관세 강행 예고 여파로 하락 마감한 데 이어 이날 캐나다와  ,0
69, 환율전망   약달러 압력 확대 속   전인대 내용 주목 ,0,장관이  트럼프 가 당장 내일 캐내다  멕시코 관세를 일부 감면하는 정책을 발표할 수 있다고 발언하며 위험자산 투심 진화에 나섰다 고 분석했다  이어  중국 주미대사가  트럼프  관세에 공격적으로 대응하지 않겠다는  ,0
70,국제유가  거래일 연속 하락  산유국 증산 관세 전쟁 속 수요 위축 우려 ,0,미국 도널드  트럼프  행정부의 관세 부과 정책으로 경기 침체 우려가 커진 점도 유가 하락 요인으로 작용한  김 연구원은  트럼프  행정부가 멕시코와 캐나다 대상   관세 부과 정책을 시행하면서 경기 우려가  ,0
71,미 상무장관  중간서 만날 듯 캐 멕 관세 경감 가능성 시사,0,하워드 러트닉 상무장관은 현지시간  일 폭스뉴스 인터뷰에서  트럼프  대통령이 캐나다와 멕시코에 구제  지점 에서 만나게 될 수도 있다며 관세 경감 가능성을 시사했습니다  정래원 기자  캐나다  멕시코  트럼프 관세,0
72,레딧 공동 창업자  틱톡 사업권 인수전 참여 선언,1, 트럼프  대통령은 지난  월 마이크로 소프트가 틱톡 인수 협상을 진행 중이라고 언급했습니다  틱톡은 이른바  틱톡 금지법  시행을 목전에 둔  월  일 미국에서 서비스를 중단했다가  트럼프  대통령이 금지 조치 시행을  ,0
73, 상무  트럼프  내일 캐나다 멕시코 관세 타협안 발표 ,0,본 기사는 인포맥스 금융정보 단말기에서  시  분에 서비스된 기사입니다 ,0
